选词方式	数据日期	关键词	城市	qv	sug占比	top1占比	top3占比	top5占比	top9占比	fold点击占比	qc点击占比	qr点击占比	citylist点击占比	结果数	是否折叠	折叠位置	是否城市跳转	结果城市	城市跳转类型	是否纠错	纠错类型	是否Geo	检索类型	map检索链接
top	201703080000~201703082359	美食	北京市	3499	0.71%	0	0	0	0	0	0	0	0	507	N	-1	N	11	null	N	null	N	tag	http://map.qq.com/?w=%E7%BE%8E%E9%A3%9F&c=%E5%8C%97%E4%BA%AC%E5%B8%82
top	201703080000~201703082359	室内检索poi	北京市	2526	0.0%	0	0	0	0	0	0	0	0	1417	N	-1	N	11	null	N	null	N	exact	http://map.qq.com/?w=%E5%AE%A4%E5%86%85%E6%A3%80%E7%B4%A2poi&c=%E5%8C%97%E4%BA%AC%E5%B8%82
top	201703080000~201703082359	酒店	北京市	1937	1.76%	0	0	0	0	0	0	0	0	121	N	-1	N	11	null	N	null	N	tag	http://map.qq.com/?w=%E9%85%92%E5%BA%97&c=%E5%8C%97%E4%BA%AC%E5%B8%82
top	201703080000~201703082359	美食	广州	1913	0.47%	0	0	0	0	0	0	0	0	1189	N	-1	N	4401	null	N	null	N	tag	http://map.qq.com/?w=%E7%BE%8E%E9%A3%9F&c=%E5%B9%BF%E5%B7%9E
top	201703080000~201703082359	室内检索poi	深圳	1781	0.0%	0	0	0	0	0.0%	0	0	0	1279	N	-1	N	4403	null	N	null	N	exact	http://map.qq.com/?w=%E5%AE%A4%E5%86%85%E6%A3%80%E7%B4%A2poi&c=%E6%B7%B1%E5%9C%B3
top	201703080000~201703082359	酒店	广州	1613	1.49%	0	0	0	0	0	0	0	0	36	N	-1	N	4401	null	N	null	N	tag	http://map.qq.com/?w=%E9%85%92%E5%BA%97&c=%E5%B9%BF%E5%B7%9E
top	201703080000~201703082359	美食	上海市	1598	0.31%	0	0	0	0	0	0	0	0	1002	N	-1	N	31	null	N	null	N	tag	http://map.qq.com/?w=%E7%BE%8E%E9%A3%9F&c=%E4%B8%8A%E6%B5%B7%E5%B8%82
top	201703080000~201703082359	美食	深圳	1589	0.13%	0	0	0	0	0	0	0	0	1286	N	-1	N	4403	null	N	null	N	tag	http://map.qq.com/?w=%E7%BE%8E%E9%A3%9F&c=%E6%B7%B1%E5%9C%B3
top	201703080000~201703082359	室内检索poi	上海市	1400	0.0%	0	0	0	0	0	0	0	0	0	N	-1	N	31	null	N	null	N	exact	http://map.qq.com/?w=%E5%AE%A4%E5%86%85%E6%A3%80%E7%B4%A2poi&c=%E4%B8%8A%E6%B5%B7%E5%B8%82
top	201703080000~201703082359	室内检索poi	广州	1396	0.0%	0	0	0	0	0	0	0	0	1343	N	-1	N	4401	null	N	null	N	exact	http://map.qq.com/?w=%E5%AE%A4%E5%86%85%E6%A3%80%E7%B4%A2poi&c=%E5%B9%BF%E5%B7%9E
top	201703080000~201703082359	广州南站	广州	1296	86.96%	0	0	0	0	0.0%	0	0	0	2089	Y	3	N	4401	null	N	null	N	exact	http://map.qq.com/?w=%E5%B9%BF%E5%B7%9E%E5%8D%97%E7%AB%99&c=%E5%B9%BF%E5%B7%9E
top	201703080000~201703082359	酒店	上海市	1259	0.71%	0	0	0	0	0	0	0	0	2500	N	-1	N	31	null	N	null	N	tag	http://map.qq.com/?w=%E9%85%92%E5%BA%97&c=%E4%B8%8A%E6%B5%B7%E5%B8%82
